class,method,descriptor,tier,orig_insn_count,recomp_insn_count,insn_diff,category,description,first_diff_idx,orig_context,recomp_context
zombie/iso/IsoGridSquare,toBoolean,([B)Z,STRUCTURAL,11,11,0,BRANCH_INV_RESTRUCTURED,1 inv + 7 other opcode diffs (block reorder),1,   0: aload_0  | >>>1: ifnull 9 |    4: aload_0  |    5: arraylength ,   0: aload_0  | >>>1: ifnull 23 |    4: aload_0  |    5: arraylength 
zombie/iso/IsoGridSquare,BurnWallsTCOnly,()V,STRUCTURAL,17,17,0,ORIG_EXTRA_GOTO,Original has 1 extra goto(s),4,   2: iload_1  |    3: aload_0  | >>>4: getfield #325 |    7: invokevirtual #329 |    10: if_icmpge 41,   2: iload_1  |    3: aload_0  | >>>4: getfield #323 |    7: invokevirtual #327 |    10: if_icmpge 38
zombie/iso/IsoGridSquare,CalculateCollide,(Lzombie/iso/IsoGridSquare;ZZZZLzombie/iso/IsoGridSquare$GetSquare;)Z,SORTED_MULTISET,1094,1094,0,BRANCH_INVERSION_ONLY,4 inversions: #274 ifne->ifeq; #769 ifne->ifeq; #788 ifne->ifeq,13,   17: ifeq 33 |    20: aload_1  | >>>21: getfield #221 |    24: getstatic #2779 |    27: invokevirtual #250,   17: ifeq 33 |    20: aload_1  | >>>21: getfield #219 |    24: getstatic #2773 |    27: invokevirtual #248
zombie/iso/IsoGridSquare,testVisionAdjacent,(IIIZZ)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,424,420,-4,COUNT_DIFF_-3,"Instruction count diff=-3, goto diff=-1, return diff=+0",18,   26: iconst_1  |    27: if_icmple 34 | >>>30: getstatic #2962 |    33: areturn  |    34: iload_3 ,   26: iconst_1  |    27: if_icmple 34 | >>>30: getstatic #2956 |    33: areturn  |    34: iload_3 
zombie/iso/IsoGridSquare,drawCircleExplosion,(ILzombie/iso/objects/IsoTrap;Lzombie/iso/objects/IsoTrap$ExplosionMode;)V,STRUCTURAL,179,178,-1,ORIG_EXTRA_INSN,"Original has extra: if_acmpne, goto",6,   8: istore_1  |    9: aload_0  | >>>10: invokevirtual #1216 |    13: iload_1  |    14: isub ,   8: istore_1  |    9: aload_0  | >>>10: invokevirtual #1208 |    13: iload_1  |    14: isub 
zombie/iso/IsoMetaGrid,registerGeometryZone,(Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;Lse/krka/kahlua/vm/KahluaTable;Lse/krka/kahlua/vm/KahluaTable;)Lzombie/iso/IsoMetaGrid$Zone;,SORTED_MULTISET,215,221,6,BLOCK_REORDER,"Likely block reorder (sim=95.3%), added={'aload': 1, 'astore': 4, 'aconst_null': 1, '204': 1, '238': 1, '280': 1, '296': 1, 'ifnull': 1}, removed={'200': 1, '234': 1, '276': 1, '282': 1, 'ifnonnull': 1}",66,"   149: iinc 12, 2 |    152: goto 39 | >>>155: aload 4 |    157: astore 13 |    159: iconst_m1 ","   149: iinc 12, 2 |    152: goto 39 | >>>155: aconst_null  |    156: astore 12 |    158: aload 4"
zombie/iso/IsoMetaGrid,load,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,606,607,1,OPCODE_DIFF,46 opcode differences: #5 istore_2->istore_3; #8 istore_3->istore; #15 iload_2->iload_3,5,   5: aload_1  |    6: invokevirtual #842 | >>>9: istore_3  |    10: aload_1  |    11: invokevirtual #842,   5: aload_1  |    6: invokevirtual #842 | >>>9: istore_2  |    10: aload_1  |    11: invokevirtual #842
zombie/iso/IsoMetaGrid,getRandomRoomNotInRange,(FFI)Lzombie/iso/RoomDef;,SORTED_MULTISET,37,41,4,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",4,   3: aconst_null  |    4: astore 5 | >>>6: getstatic #961 |    9: getstatic #967 |    12: getstatic #967,   3: aconst_null  |    4: astore 5 | >>>6: aconst_null  |    7: astore 6 |    9: aconst_null 
zombie/iso/IsoMetaGrid,loadZone,(Ljava/nio/ByteBuffer;I)V,SORTED_MULTISET,435,435,0,BRANCH_INV_RESTRUCTURED,1 inv + 335 other opcode diffs (block reorder),2,   0: iload_2  |    1: iconst_m1  | >>>2: if_icmpne 70 |    5: aload_1  |    6: invokevirtual #842,   0: iload_2  |    1: iconst_m1  | >>>2: if_icmpne 67 |    5: aload_1  |    6: invokevirtual #842
zombie/iso/IsoMetaGrid,saveZone,(Ljava/nio/ByteBuffer;)V,SORTED_MULTISET,295,291,-4,OPCODE_DIFF,5 opcode differences: #221 ifeq->iconst_1; #222 iconst_1->if_icmpne; #223 goto->iconst_1,86,   172: new #1022 |    175: dup  | >>>176: ldc_w #1209 |    179: invokespecial #1026 |    182: athrow ,   172: new #1022 |    175: dup  | >>>176: ldc_w #1207 |    179: invokespecial #1026 |    182: athrow 
zombie/iso/IsoMovingObject,postupdate,()V,STRUCTURAL,732,732,0,BRANCH_INV_RESTRUCTURED,1 inv + 7 other opcode diffs (block reorder),1,   0: aload_0  | >>>1: ldc_w #257 |    4: invokestatic #644 |    7: checkcast #257,   0: aload_0  | >>>1: ldc #255 |    3: invokestatic #642 |    6: checkcast #255
zombie/iso/IsoMovingObject,canHaveMultipleHits,()B,STRUCTURAL,111,110,-1,ORIG_EXTRA_INSN,"Original has extra: if_acmpne, goto",2,   0: iconst_0  |    1: istore_1  | >>>2: getstatic #290 |    5: getfield #295 |    8: invokevirtual #206,   0: iconst_0  |    1: istore_1  | >>>2: getstatic #288 |    5: getfield #293 |    8: invokevirtual #202
zombie/iso/IsoObject,getNew,(Lzombie/iso/IsoGridSquare;Ljava/lang/String;Ljava/lang/String;Z)Lzombie/iso/IsoObject;,SORTED_MULTISET,57,59,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aconst_null': 1, 'astore': 1}",2,   0: aconst_null  |    1: astore 4 | >>>3: getstatic #218 |    6: dup  |    7: astore 5,   0: aconst_null  |    1: astore 4 | >>>3: aconst_null  |    4: astore 5 |    6: getstatic #216
zombie/iso/IsoObject,renderOverlaySprites,(FFFLzombie/core/textures/ColorInfo;)V,SORTED_MULTISET,101,102,1,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'goto': 1, 'aload_0': 1, 'getfield': 1, 'iload': 1}",2,   0: aload_0  |    1: invokevirtual #1039 | >>>4: ifnull 25 |    7: getstatic #1956 |    10: getfield #2031,   0: aload_0  |    1: invokevirtual #1039 | >>>4: ifnull 209 |    7: getstatic #1956 |    10: getfield #2031
zombie/iso/IsoObjectPicker,ContextPick,(II)Lzombie/iso/IsoObjectPicker$ClickObject;,STRUCTURAL,450,450,0,COUNT_DIFF_-4,"Instruction count diff=-4, goto diff=-2, return diff=+0",29,   48: istore 5 |    50: iload 5 | >>>52: iflt 914 |    55: aload_0  |    56: getfield #28,   48: istore 5 |    50: iload 5 | >>>52: iflt 908 |    55: aload_0  |    56: getfield #28
zombie/iso/IsoObjectPicker,PickCorpse,(II)Lzombie/iso/IsoObject;,STRUCTURAL,106,105,-1,ORIG_EXTRA_INSN,"Original has extra: ifge, goto",21,   32: istore 5 |    34: iload 5 | >>>36: iflt 218 |    39: aload_0  |    40: getfield #28,   32: istore 5 |    34: iload 5 | >>>36: iflt 215 |    39: aload_0  |    40: getfield #28
zombie/iso/IsoPuddles$PuddlesFloat,calculate,()V,STRUCTURAL,9,10,1,RECOMP_EXTRA_GOTO,Recomp has 1 extra goto(s),2,   0: aload_0  |    1: getfield #7 | >>>4: ifeq 16 |    7: aload_0  |    8: aload_0 ,   0: aload_0  |    1: getfield #7 | >>>4: ifeq 18 |    7: aload_0  |    8: aload_0 
zombie/iso/IsoRoofFixer,getRoofFloorForColumn,(Lzombie/iso/IsoGridSquare;)Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,295,296,1,LARGE_STRUCTURAL_DIFF_+5,"Major structural diff=+5, similarity=84.4%",7,   9: astore_1  |    10: iconst_0  | >>>11: istore_3  |    12: iconst_0  |    13: istore 4,   9: astore_1  |    10: iconst_0  | >>>11: istore_2  |    12: iconst_0  |    13: istore_3 
zombie/iso/IsoWaterGeometry,hideWaterObjects,(Lzombie/iso/IsoGridSquare;)V,STRUCTURAL,84,83,-1,ORIG_EXTRA_INSN,"Original has extra: ifnonnull, goto",8,   8: aload_2  |    9: invokevirtual #158 | >>>12: if_icmpge 214 |    15: aload_2  |    16: iload_3 ,   8: aload_2  |    9: invokevirtual #158 | >>>12: if_icmpge 211 |    15: aload_2  |    16: iload_3 
zombie/iso/IsoWorld,LoadTileDefinitions,(Lzombie/iso/sprite/IsoSpriteManager;Ljava/lang/String;I)V,STRUCTURAL,2145,2142,-3,ORIG_EXTRA_INSN,"Original has extra: goto, goto, goto",115,   233: iload 25 |    235: iload 9 | >>>237: if_icmpge 5356 |    240: aload 6 |    242: invokestatic #475,   233: iload 25 |    235: iload 9 | >>>237: if_icmpge 5351 |    240: aload 6 |    242: invokestatic #475
zombie/iso/IsoWorld,LoadPlayerForInfo,()Z,SORTED_MULTISET,186,184,-2,BLOCK_REORDER,"Likely block reorder (sim=99.4%), added={'getstatic': 2, 'ifeq': 1, 'iconst_1': 1, 'ireturn': 1, 'istore': 1, 'iload': 1, 'iconst_m1': 1, 'iconst_0': 3}, removed={'goto': 3, 'dup2': 2}",0,>>>0: getstatic #1202 |    3: ifeq 14 |    6: invokestatic #1207,>>>0: getstatic #1203 |    3: ifeq 14 |    6: invokestatic #1208
zombie/iso/IsoWorld,readWorldVersion,()I,SORTED_MULTISET,128,128,0,RECOMP_EXTRA_INSN,"Recomp has extra: iconst_m1, istore, aload_2",1,   0: getstatic #327 | >>>3: ifeq 170 |    6: getstatic #338 |    9: ldc_w #2267,   0: getstatic #327 | >>>3: ifeq 167 |    6: getstatic #338 |    9: ldc_w #2268
zombie/iso/LightingJNI,checkLights,()V,SORTED_MULTISET,640,642,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'goto': 1, 'istore': 1, 'getstatic': 1, 'aload': 1, 'ldc_w': 1, 'iload': 1}",2,   0: getstatic #222 |    3: getfield #228 | >>>6: ifnonnull 10 |    9: return  |    10: getstatic #232,   0: getstatic #222 |    3: getfield #228 | >>>6: ifnonnull 12 |    9: goto 1478 |    12: getstatic #232
zombie/iso/LightingThread,lambda$create$0,()V,SORTED_MULTISET,29,31,2,RECOMP_EXTRA_INSN,"Recomp has extra: ifne, ifne, goto",2,   0: aload_0  |    1: getfield #7 | >>>4: ifne 86 |    7: getstatic #79 |    10: getfield #85,   0: aload_0  |    1: getfield #7 | >>>4: ifne 89 |    7: getstatic #79 |    10: getfield #85
zombie/iso/LosUtil,lineClear,(Lzombie/iso/IsoCell;IIIIIIZI)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,490,484,-6,BLOCK_REORDER,"Likely block reorder (sim=98.8%), added={}, removed={'iload_3': 1, 'istore': 3, 'iload_2': 1, 'iload_1': 1}",9,   11: iload 5 |    13: iload 6 | >>>15: invokevirtual #36 |    18: astore 9 |    20: aload 9,   11: iload 5 |    13: iload 6 | >>>15: invokevirtual #34 |    18: astore 9 |    20: aload 9
zombie/iso/LosUtil,lineClearCollide,(IIIIIIZ)Z,STRUCTURAL,325,319,-6,BLOCK_REORDER,"Likely block reorder (sim=98.2%), added={}, removed={'iload': 2, 'istore': 3, 'iload_3': 1}",0,>>>0: getstatic #85 |    3: getfield #91 |    6: astore 7,>>>0: getstatic #83 |    3: getfield #89 |    6: astore 7
zombie/iso/LosUtil,lineClearCollideCount,(Lzombie/characters/IsoGameCharacter;Lzombie/iso/IsoCell;IIIIII)I,STRUCTURAL,353,347,-6,BLOCK_REORDER,"Likely block reorder (sim=96.6%), added={'ifeq': 3}, removed={'istore': 3, 'iload': 3, 'iconst_1': 3, 'if_icmpne': 3}",14,   19: isub  |    20: istore 11 | >>>22: ldc #54 |    24: fstore 12 |    26: ldc #54,   19: isub  |    20: istore 11 | >>>22: ldc #52 |    24: fstore 12 |    26: ldc #52
zombie/iso/LosUtil,lineClearCached,(Lzombie/iso/IsoCell;IIIIIIZI)Lzombie/iso/LosUtil$TestResults;,STRUCTURAL,882,876,-6,BLOCK_REORDER,"Likely block reorder (sim=98.1%), added={}, removed={'iload': 3, 'istore': 3, 'i2b': 11}",9,   10: iload_2  |    11: iload_3  | >>>12: invokevirtual #36 |    15: astore 9 |    17: aload 9,   10: iload_2  |    11: iload_3  | >>>12: invokevirtual #34 |    15: astore 9 |    17: aload 9
zombie/iso/MultiStageBuilding$Stage,doStage,(Lzombie/characters/IsoGameCharacter;Lzombie/iso/objects/IsoThumpable;Z)V,STRUCTURAL,270,270,0,CONST_POOL_DIFF,2 constant pool refs differ,2,   0: aload_2  |    1: invokevirtual #148 | >>>4: istore 4 |    6: aload_2  |    7: invokevirtual #154,   0: aload_2  |    1: invokevirtual #148 | >>>4: istore 7 |    6: aload_2  |    7: invokevirtual #154
zombie/iso/SpawnPoints,parseServerSpawnPoint,()Z,SORTED_MULTISET,72,72,0,RECOMP_EXTRA_INSN,"Recomp has extra: ifne, iconst_0, ireturn",20,   41: arraylength  |    42: iconst_3  | >>>43: if_icmpne 133 |    46: aload_1  |    47: iconst_0 ,   41: arraylength  |    42: iconst_3  | >>>43: if_icmpne 132 |    46: aload_1  |    47: iconst_0 
zombie/iso/TileOverlays,updateTileOverlaySprite,(Lzombie/iso/IsoObject;)V,SORTED_MULTISET,132,134,2,OPCODE_DIFF,2 opcode differences: #83 fstore->dup; #84 fconst_1->fstore,7,   9: astore_2  |    10: aload_2  | >>>11: ifnonnull 15 |    14: return  |    15: aconst_null ,   9: astore_2  |    10: aload_2  | >>>11: ifnonnull 17 |    14: goto 322 |    17: aconst_null 
zombie/iso/areas/IsoBuilding,getFreeTile,()Lzombie/iso/IsoGridSquare;,SORTED_MULTISET,13,15,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aconst_null': 1, 'astore_2': 1, 'astore_3': 1, 'aload_3': 1, 'invokevirtual': 1, 'aload_2': 1}",2,   0: aconst_null  |    1: astore_1  | >>>2: aload_0  |    3: getfield #1 |    6: aload_0 ,   0: aconst_null  |    1: astore_1  | >>>2: aconst_null  |    3: astore_2  |    4: aload_0 
zombie/iso/areas/IsoBuilding,hasWater,()Z,SORTED_MULTISET,43,40,-3,RECOMP_EXTRA_INSN,"Recomp has extra: ifeq, goto, goto",5,"   7: astore_1  |    8: aload_1  | >>>9: ifnull 107 |    12: aload_1  |    13: invokeinterface #212,  1","   7: astore_1  |    8: aload_1  | >>>9: ifnull 110 |    12: aload_1  |    13: invokeinterface #212,  1"
zombie/iso/areas/IsoRoom,useWater,()V,STRUCTURAL,22,21,-1,ORIG_EXTRA_INSN,"Original has extra: ifeq, return, ifeq",3,   1: getfield #52 |    4: invokevirtual #165 | >>>7: ifeq 11 |    10: return  |    11: aload_0 ,   1: getfield #52 |    4: invokevirtual #165 | >>>7: ifne 60 |    10: aload_0  |    11: getfield #52
zombie/iso/areas/isoregion/IsoRegionWorker,thread_main_loop,()V,STRUCTURAL,148,149,1,BRANCH_INV_RESTRUCTURED,1 inv + 103 other opcode diffs (block reorder),9,   19: astore_1  |    20: aload_1  | >>>21: ifnull 406 |    24: getstatic #162 |    27: aload_1 ,   19: astore_1  |    20: aload_1  | >>>21: ifnull 409 |    24: getstatic #162 |    27: aload_1 
zombie/iso/areas/isoregion/data/DataChunk,squareAddFlags,(IB)V,SORTED_MULTISET,10,11,1,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aload_0': 1, 'getfield': 1, 'iload_1': 1}",3,   1: getfield #77 |    4: iload_1  | >>>5: dup2  |    6: baload  |    7: iload_2 ,   1: getfield #77 |    4: iload_1  | >>>5: aload_0  |    6: getfield #77 |    9: iload_1 
zombie/iso/areas/isoregion/data/DataChunk,squareRemoveFlags,(IB)V,SORTED_MULTISET,10,11,1,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aload_0': 1, 'getfield': 1, 'iload_1': 1}",3,   1: getfield #77 |    4: iload_1  | >>>5: dup2  |    6: baload  |    7: iload_2 ,   1: getfield #77 |    4: iload_1  | >>>5: aload_0  |    6: getfield #77 |    9: iload_1 
zombie/iso/objects/IsoBarricade,WeaponHit,(Lzombie/characters/IsoGameCharacter;Lzombie/inventory/types/HandWeapon;)V,STRUCTURAL,145,145,0,INV_PLUS_GOTO_SWAP,2 inversions + 1 goto/ret swaps,10,   17: astore_3  |    18: getstatic #313 | >>>21: ifeq 38 |    24: aload_3  |    25: ifnull 37,   17: astore_3  |    18: getstatic #313 | >>>21: ifeq 40 |    24: aload_3  |    25: ifnull 307
zombie/iso/objects/IsoBarricade,Damage,(I)V,SORTED_MULTISET,75,76,1,RECOMP_EXTRA_INSN,"Recomp has extra: ifne, goto, goto",3,   3: getstatic #371 |    6: invokevirtual #377 | >>>9: ifeq 13 |    12: return  |    13: aload_0 ,   3: getstatic #371 |    6: invokevirtual #377 | >>>9: ifne 142 |    12: aload_0  |    13: getfield #123
zombie/iso/objects/IsoCarBatteryCharger,configureSprite,(Lzombie/inventory/InventoryItem;Lzombie/iso/sprite/IsoSprite;)Lzombie/iso/sprite/IsoSprite;,SORTED_MULTISET,92,94,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'invokestatic': 2, 'astore': 2, 'aload': 3, 'astore_3': 1, 'aload_3': 6, 'getstatic': 1, 'i2f': 1, 'fstore': 1, 'fload': 1}",2,   0: aload_1  |    1: invokevirtual #297 | >>>4: astore 4 |    6: aload 4 |    8: invokestatic #301,   0: aload_1  |    1: invokevirtual #297 | >>>4: astore_3  |    5: aload_3  |    6: invokestatic #301
zombie/iso/objects/IsoDeadBody,save,(Ljava/nio/ByteBuffer;Z)V,SORTED_MULTISET,187,187,0,BLOCK_REORDER,"Likely block reorder (sim=97.3%), added={'i2b': 6}, removed={}",11,   15: goto 19 |    18: iconst_0  | >>>19: invokevirtual #755 |    22: pop  |    23: aload_1 ,   15: goto 19 |    18: iconst_0  | >>>19: i2b  |    20: invokevirtual #755 |    23: pop 
zombie/iso/objects/IsoDeadBody,Burn,()V,SORTED_MULTISET,84,84,0,ORIG_EXTRA_INSN,"Original has extra: ifeq, return, dup",1,   0: getstatic #130 | >>>3: ifeq 7 |    6: return  |    7: aload_0 ,   0: getstatic #130 | >>>3: ifne 187 |    6: aload_0  |    7: invokevirtual #473
zombie/iso/objects/IsoDeadBody,updateBodies,()V,STRUCTURAL,116,117,1,ORIG_EXTRA_INSN,"Original has extra: ifeq, return",1,   0: getstatic #130 | >>>3: ifeq 7 |    6: return  |    7: getstatic #988,   0: getstatic #130 | >>>3: ifne 300 |    6: getstatic #986 |    9: ifeq 12
zombie/iso/objects/IsoDeadBody,updateRotting,(FFZ)V,SORTED_MULTISET,278,279,1,GOTO_RETURN_SWAP,3 goto/return swaps: #99 goto->return; #105 goto->return; #238 goto->return,1,   0: aload_0  | >>>1: invokevirtual #802 |    4: ifeq 8 |    7: return ,   0: aload_0  | >>>1: invokevirtual #795 |    4: ifeq 8 |    7: return 
zombie/iso/objects/IsoDoor,isAdjacentToSquare,(Lzombie/iso/IsoGridSquare;)Z,STRUCTURAL,689,689,0,BRANCH_INV_RESTRUCTURED,16 inv + 192 other opcode diffs (block reorder),65,   152: aload 5 |    154: invokevirtual #1223 | >>>157: ifne 194 |    160: aload 4 |    162: aload 5,   152: aload 5 |    154: invokevirtual #1223 | >>>157: ifne 229 |    160: aload 4 |    162: aload 5
zombie/iso/objects/IsoDoor,addSheet,(Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,80,82,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'goto': 1, 'iconst_0': 1, 'istore': 1, '76': 1, '109': 1, '130': 1, '163': 1}",2,   0: aload_0  |    1: getfield #59 | >>>4: ifne 18 |    7: aload_1  |    8: ifnull 18,   0: aload_0  |    1: getfield #59 | >>>4: ifne 199 |    7: aload_1  |    8: ifnull 199
zombie/iso/objects/IsoDoor,toggleDoubleDoor,(Lzombie/iso/IsoObject;Z)V,SORTED_MULTISET,88,82,-6,COUNT_DIFF_-4,"Instruction count diff=-4, goto diff=-1, return diff=+0",24,   42: astore 4 |    44: aload_3  | >>>45: ifnonnull 56 |    48: aload 4 |    50: getfield #1441,   42: astore 4 |    44: aload_3  | >>>45: ifnonnull 48 |    48: aload_3  |    49: ifnonnull 60
zombie/iso/objects/IsoFire,update,()V,SORTED_MULTISET,435,434,-1,OPCODE_DIFF,12 opcode differences: #60 aload_3->dup; #160 aload_0->dup; #200 468->464,3,   1: invokevirtual #339 |    4: iconst_m1  | >>>5: if_icmpne 9 |    8: return  |    9: getstatic #215,   1: invokevirtual #339 |    4: iconst_m1  | >>>5: if_icmpne 11 |    8: goto 926 |    11: getstatic #215
zombie/iso/objects/IsoFire,render,(FFFLzombie/core/textures/ColorInfo;ZZLzombie/core/opengl/Shader;)V,STRUCTURAL,95,94,-1,ORIG_EXTRA_INSN,"Original has extra: ifnonnull, goto",26,   39: getfield #49 |    42: invokevirtual #349 | >>>45: if_icmpge 194 |    48: aload_0  |    49: getfield #49,   39: getfield #49 |    42: invokevirtual #349 | >>>45: if_icmpge 191 |    48: aload_0  |    49: getfield #49
zombie/iso/objects/IsoFireManager$FireSounds$Slot,playSound,(Lzombie/iso/objects/IsoFire;)V,STRUCTURAL,91,93,2,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",45,   95: tableswitch { |    1: 120  | >>>2: 124  |    3: 120  |    120: iconst_1 ,   95: tableswitch { |    1: 120  | >>>2: 125  |    3: 120  |    120: iconst_1 
zombie/iso/objects/IsoGenerator,addPoweredItem,(Lzombie/iso/IsoObject;F)V,STRUCTURAL,119,117,-2,BRANCH_INV_RESTRUCTURED,1 inv + 12 other opcode diffs (block reorder),67,   163: aload_3  |    164: invokevirtual #475 | >>>167: ifeq 202 |    170: aload 7 |    172: ldc_w #478,   163: aload_3  |    164: invokevirtual #475 | >>>167: ifne 173 |    170: goto 139 |    173: aload 7
zombie/iso/objects/IsoMannequin,wearItem,(Lzombie/inventory/InventoryItem;Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,80,79,-1,ORIG_EXTRA_INSN,"Original has extra: return, ifne, goto",1,   0: aload_0  | >>>1: getfield #305 |    4: aload_1  |    5: invokevirtual #892,   0: aload_0  | >>>1: getfield #301 |    4: aload_1  |    5: invokevirtual #888
zombie/iso/objects/IsoMolotovCocktail,Explode,()V,SORTED_MULTISET,53,51,-2,ORIG_EXTRA_INSN,"Original has extra: ifeq, goto, return",14,   22: invokevirtual #163 |    25: getstatic #169 | >>>28: ifeq 69 |    31: aload_0  |    32: getfield #15,   22: invokevirtual #163 |    25: getstatic #169 | >>>28: ifeq 66 |    31: aload_0  |    32: getfield #15
zombie/iso/objects/IsoTelevision,setupDefaultScreens,()V,SORTED_MULTISET,95,95,0,COUNT_DIFF_-3,"Instruction count diff=-3, goto diff=+0, return diff=+0",10,   14: getfield #14 |    17: invokevirtual #66 | >>>20: ifne 64 |    23: bipush 16 |    25: istore_1 ,   14: getfield #14 |    17: invokevirtual #66 | >>>20: ifne 62 |    23: bipush 16 |    25: istore_1 
zombie/iso/objects/IsoTelevision,isFacing,(Lzombie/characters/IsoPlayer;)Z,STRUCTURAL,143,143,0,BRANCH_INV_RESTRUCTURED,1 inv + 116 other opcode diffs (block reorder),18,   28: getfield #342 |    31: invokevirtual #345 | >>>34: ifne 39 |    37: iconst_0  |    38: ireturn ,   28: getfield #342 |    31: invokevirtual #345 | >>>34: ifeq 314 |    37: aload_0  |    38: getfield #30
zombie/iso/objects/IsoThumpable,isAdjacentToSquare,(Lzombie/iso/IsoGridSquare;)Z,STRUCTURAL,689,689,0,BRANCH_INV_RESTRUCTURED,1 inv + 640 other opcode diffs (block reorder),1,   0: aload_0  | >>>1: invokevirtual #839 |    4: astore_2  |    5: aload_2 ,   0: aload_0  | >>>1: invokevirtual #835 |    4: astore_2  |    5: aload_2 
zombie/iso/objects/IsoTrap,initSprite,(Lzombie/inventory/types/HandWeapon;)V,SORTED_MULTISET,80,82,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'goto': 1, 'getstatic': 1, 'i2f': 1, 'fstore': 1, 'fload': 1}",1,   0: aload_1  | >>>1: ifnonnull 5 |    4: return  |    5: aload_1 ,   0: aload_1  | >>>1: ifnonnull 7 |    4: goto 173 |    7: aload_1 
zombie/iso/objects/IsoTree,renderInner,(FFFLzombie/core/textures/ColorInfo;ZZ)V,SORTED_MULTISET,170,171,1,RECOMP_EXTRA_INSN,"Recomp has extra: ifne, goto",2,   0: aload_0  |    1: getfield #61 | >>>4: ifnull 113 |    7: aload_0  |    8: getfield #61,   0: aload_0  |    1: getfield #61 | >>>4: ifnull 116 |    7: aload_0  |    8: getfield #61
zombie/iso/objects/IsoWindow,addSheet,(Lzombie/characters/IsoGameCharacter;)V,STRUCTURAL,177,176,-1,ORIG_EXTRA_INSN,"Original has extra: astore_2, astore_2, aload_2",3,   1: astore_2  |    2: aload_0  | >>>3: getfield #45 |    6: ifeq 112 |    9: aload_0 ,   1: astore_2  |    2: aload_0  | >>>3: getfield #43 |    6: ifeq 113 |    9: aload_0 
zombie/iso/objects/IsoWindow,removeSheetRope,(Lzombie/characters/IsoPlayer;Lzombie/iso/IsoGridSquare;Z)Z,STRUCTURAL,230,229,-1,ORIG_EXTRA_INSN,"Original has extra: astore, aload, astore_3",5,   5: ireturn  |    6: aload_1  | >>>7: astore 6 |    9: aload 6 |    11: iconst_0 ,   5: ireturn  |    6: aload_1  | >>>7: astore_3  |    8: aload_1  |    9: iconst_0 
zombie/iso/objects/IsoWorldInventoryObject,updateSprite,()V,SORTED_MULTISET,94,96,2,RECOMP_EXTRA_INSN,"Recomp has extra: ifeq, getstatic, i2f",23,   51: invokevirtual #349 |    54: getstatic #181 | >>>57: ifeq 67 |    60: invokestatic #353 |    63: ifne 67,   51: invokevirtual #349 |    54: getstatic #181 | >>>57: ifeq 66 |    60: invokestatic #353 |    63: ifeq 214
zombie/iso/objects/IsoWorldInventoryObject,load,(Ljava/nio/ByteBuffer;IZ)V,SORTED_MULTISET,181,183,2,RECOMP_EXTRA_INSN,"Recomp has extra: goto, ifeq, goto",29,   55: aload_0  |    56: getfield #55 | >>>59: ifnonnull 91 |    62: aload_1  |    63: invokevirtual #416,   55: aload_0  |    56: getfield #55 | >>>59: ifnonnull 93 |    62: aload_1  |    63: invokevirtual #416
zombie/iso/objects/IsoZombieHead,<init>,(Lzombie/iso/objects/IsoZombieHead$GibletType;Lzombie/iso/IsoCell;FFF)V,SORTED_MULTISET,78,90,12,LARGE_STRUCTURAL_DIFF_+12,"Major structural diff=+12, similarity=84.8%",16,   22: putfield #19 |    25: aload_0  | >>>26: iconst_0  |    27: putfield #52 |    30: aload_0 ,   22: putfield #19 |    25: aload_0  | >>>26: fconst_1  |    27: putfield #7 |    30: aload_0 
zombie/iso/objects/ObjectRenderEffects,alloc,()Lzombie/iso/objects/ObjectRenderEffects;,STRUCTURAL,10,10,0,ORIG_EXTRA_2,"Original has 2 extra insns: {'astore_0': 1, 'aload_0': 1}",0,>>>0: getstatic #3 |    3: invokevirtual #7 |    6: ifne 21,>>>0: getstatic #1 |    3: invokevirtual #7 |    6: ifne 21
zombie/iso/objects/ObjectRenderEffects,getNew,(Lzombie/iso/IsoObject;Lzombie/iso/objects/RenderEffectType;ZZ)Lzombie/iso/objects/ObjectRenderEffects;,STRUCTURAL,123,123,0,ORIG_EXTRA_INSN,"Original has extra: ifne, goto, ifne",1,   0: getstatic #132 | >>>3: ifne 9 |    6: goto 11 |    9: aconst_null ,   0: getstatic #132 | >>>3: ifeq 8 |    6: aconst_null  |    7: areturn 
